## NVDA Price History
**NVDA** (NVIDIA Corporation, USD)
| date | close | volume |
| 2025-05-09 | 198.53 | 36,453,923 |
| 2025-05-16 | 211.26 | 54,737,900 |
| 2025-05-23 | 195.27 | 78,432,918 |
| 2025-05-30 | 200.85 | 70,819,942 |
| 2025-06-06 | 203.92 | 46,607,700 |
| 2025-06-13 | 196.45 | 51,447,349 |
| 2025-06-20 | 201 | 96,813,542 |
| 2025-06-27 | 201.08 | 73,188,600 |
| 2025-07-03 | 213.55 | 34,955,836 |
| 2025-07-11 | 211.16 | 39,765,812 |
| 2025-07-18 | 211.18 | 48,974,600 |
| 2025-07-25 | 213.88 | 40,268,800 |
| 2025-08-01 | 202.38 | 104,434,500 |
| 2025-08-08 | 229.35 | 113,854,000 |
| 2025-08-15 | 231.59 | 56,038,700 |
| 2025-08-22 | 227.76 | 42,477,811 |
| 2025-08-29 | 232.14 | 39,418,437 |
| 2025-09-05 | 239.69 | 54,870,400 |
| 2025-09-12 | 234.07 | 55,824,216 |
| 2025-09-19 | 245.50 | 163,741,314 |
| 2025-09-26 | 255.46 | 46,076,300 |
| 2025-10-03 | 258.02 | 49,155,614 |
| 2025-10-10 | 245.27 | 61,999,100 |
| 2025-10-17 | 252.29 | 49,147,000 |
| 2025-10-24 | 262.82 | 38,253,717 |
| 2025-10-31 | 270.37 | 86,167,123 |
| 2025-11-07 | 268.47 | 48,227,400 |
| 2025-11-14 | 272.41 | 47,431,331 |
| 2025-11-21 | 271.49 | 59,030,832 |
| 2025-11-28 | 278.85 | 20,135,620 |
| 2025-12-05 | 278.78 | 47,265,845 |
| 2025-12-12 | 278.28 | 39,532,900 |
| 2025-12-19 | 273.67 | 144,632,048 |
| 2025-12-26 | 273.40 | 21,521,802 |
| 2026-01-02 | 271.01 | 37,838,100 |
| 2026-01-09 | 259.37 | 39,997,000 |
| 2026-01-16 | 255.53 | 72,142,800 |
| 2026-01-23 | 248.04 | 41,689,000 |
| 2026-01-30 | 259.48 | 92,443,408 |
| 2026-02-06 | 278.12 | 50,453,414 |
| 2026-02-13 | 255.78 | 56,290,700 |
| 2026-02-20 | 264.58 | 42,070,500 |
| 2026-02-27 | 264.18 | 72,366,505 |
| 2026-03-06 | 257.46 | 41,120,042 |
| 2026-03-13 | 250.12 | 36,930,000 |
| 2026-03-20 | 247.99 | 88,331,100 |
| 2026-03-27 | 248.80 | 47,899,998 |

Data available in: `AAPL_price_history_2025-03-01_2026-03-28_1week_4ed82c.csv` (row key column: date)

## MSFT Price History
**MSFT** (Microsoft Corporation, USD)
| date | close | volume |
| --- | --- | --- |
| 2025-03-07 | 393.31 | 22,034,100 |
| 2025-03-14 | 388.56 | 19,952,846 |
| 2025-03-21 | 391.26 | 39,675,928 |
| 2025-03-28 | 378.80 | 21,632,016 |
| 2025-04-04 | 359.84 | 49,209,900 |
| 2025-04-11 | 388.45 | 23,839,220 |
| 2025-04-17 | 367.78 | 21,120,200 |
| 2025-04-25 | 391.85 | 18,973,200 |
| 2025-05-02 | 435.28 | 30,757,434 |
| 2025-05-09 | 438.73 | 15,324,233 |
| 2025-05-16 | 454.27 | 23,849,800 |
| 2025-05-23 | 450.18 | 16,883,509 |
| 2025-05-30 | 460.36 | 34,770,500 |
| 2025-06-06 | 470.38 | 15,285,624 |
| 2025-06-13 | 474.96 | 16,814,500 |
| 2025-06-20 | 477.40 | 37,576,206 |
| 2025-06-27 | 495.94 | 34,539,236 |
| 2025-07-03 | 498.84 | 13,984,829 |
| 2025-07-11 | 503.32 | 16,459,512 |
| 2025-07-18 | 510.05 | 21,209,700 |
| 2025-07-25 | 513.71 | 19,125,700 |
| 2025-08-01 | 524.11 | 28,977,628 |
| 2025-08-08 | 522.04 | 15,531,009 |
| 2025-08-15 | 520.17 | 25,213,300 |
| 2025-08-22 | 507.23 | 24,324,200 |
| 2025-08-29 | 506.69 | 20,961,600 |
| 2025-09-05 | 495 | 31,994,846 |
| 2025-09-12 | 509.90 | 23,624,900 |
| 2025-09-19 | 517.93 | 52,474,100 |
| 2025-09-26 | 511.46 | 16,213,129 |
| 2025-10-03 | 517.35 | 15,112,321 |
| 2025-10-10 | 510.96 | 24,133,840 |
